,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
0,Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,,,,,,21.0,22.0,21.0
1,Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,,,,,,29.0,38.0,32.0
2,Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,,,,,,28.0,36.0,31.0
3,Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,,,,,,24.0,30.0,26.0
4,Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0
5,Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
6,Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,,,,,,23.0,31.0,26.0
7,Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
8,Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0
9,Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
10,Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,,,,,,21.0,28.0,23.0
11,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0
12,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,23.0,33.0,26.0
13,Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0
14,Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,26.0,410.0,,,70.0,25.0,31.0,27.0
15,Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,,,,,,19.0,28.0,22.0
16,Sedan/Wagon,e-tron GT,2022,Audi,Electric,238.0,,81.0,83.0,82.0,,,
17,SUV,e-tron quattro,2022,Audi,Electric,222.0,,78.0,77.0,78.0,,,
18,SUV,"e-tron S (20"" wheels)",2022,Audi,Electric,208.0,,72.0,75.0,73.0,,,
19,SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric,181.0,,62.0,64.0,63.0,,,
20,SUV,e-tron Sportback quattro,2022,Audi,Electric,218.0,,76.0,78.0,77.0,,,
21,SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,Electric,212.0,,73.0,78.0,75.0,,,
22,SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric,185.0,,64.0,66.0,65.0,,,
23,SUV,Q4 e-tron quattro,2022,Audi,Electric,241.0,,100.0,89.0,95.0,,,
24,SUV,Q4 e-tron Sportback quattro,2022,Audi,Electric,241.0,,100.0,89.0,95.0,,,
25,SUV,Q5 quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0
26,SUV,Q5 S line quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0
27,SUV,Q5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,,,,23.0,28.0,25.0
28,Sedan/Wagon,Q5 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,23.0,390.0,,,61.0,25.0,27.0,26.0
29,SUV,Q7 quattro,2022,Audi,Hybrid Electric,,,,,,18.0,23.0,20.0
30,SUV,Q8 quattro,2022,Audi,Hybrid Electric,,,,,,18.0,23.0,20.0
31,Sedan/Wagon,RS 6 Avant,2022,Audi,Hybrid Electric,,,,,,15.0,22.0,17.0
32,Sedan/Wagon,RS7,2022,Audi,Hybrid Electric,,,,,,15.0,22.0,17.0
33,SUV,RS e-tron GT,2022,Audi,Electric,241.0,,100.0,89.0,95.0,,,
34,Sedan/Wagon,RS Q8,2022,Audi,Hybrid Electric,,,,,,13.0,19.0,15.0
35,Sedan/Wagon,S6,2022,Audi,Hybrid Electric,,,,,,18.0,28.0,22.0
36,Sedan/Wagon,S7,2022,Audi,Hybrid Electric,,,,,,18.0,28.0,22.0
37,Sedan/Wagon,S8,2022,Audi,Hybrid Electric,,,,,,14.0,23.0,17.0
38,Sedan/Wagon,Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric,21.0,430.0,,,46.0,17.0,22.0,19.0
39,Sedan/Wagon,330e Sedan,2022,BMW,Plug-in Hybrid Electric,23.0,320.0,,,75.0,25.0,33.0,28.0
40,Sedan/Wagon,330e xDrive,2022,BMW,Plug-in Hybrid Electric,20.0,290.0,,,67.0,22.0,30.0,25.0
41,Sedan/Wagon,530e Sedan,2022,BMW,Plug-in Hybrid Electric,21.0,340.0,,,64.0,24.0,29.0,26.0
42,Sedan/Wagon,530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric,19.0,320.0,,,62.0,22.0,28.0,25.0
43,Sedan/Wagon,540i Sedan,2022,BMW,Hybrid Electric,,,,,,25.0,32.0,27.0
44,Sedan/Wagon,540i xDrive Sedan,2022,BMW,Hybrid Electric,,,,,,22.0,29.0,25.0
45,Sedan/Wagon,745e xDrive,2022,BMW,Plug-in Hybrid Electric,17.0,290.0,,,56.0,19.0,26.0,22.0
46,Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,Electric,301.0,,109.0,108.0,109.0,,,
47,Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,282.0,,100.0,98.0,99.0,,,
48,Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,270.0,,94.0,98.0,96.0,,,
49,Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,Electric,227.0,,79.0,80.0,80.0,,,
50,SUV,"iX xDrive50 (20"" Wheels) ",2022,BMW,Electric,324.0,,86.0,87.0,86.0,,,
51,SUV,"iX xDrive50 (21"" Wheels) ",2022,BMW,Electric,305.0,,82.0,84.0,83.0,,,
52,SUV,"iX xDrive50 (22"" Wheels) ",2022,BMW,Electric,315.0,,86.0,85.0,86.0,,,
53,Sedan/Wagon,M340i Sedan,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0
54,Sedan/Wagon,M340i xDrive Sedan,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0
55,Sedan/Wagon,M440i Convertible,2022,BMW,Hybrid Electric,,,,,,23.0,31.0,26.0
56,Sedan/Wagon,M440i Coupe,2022,BMW,Hybrid Electric,,,,,,25.0,34.0,28.0
57,Sedan/Wagon,M440i xDrive Convertible,2022,BMW,Hybrid Electric,,,,,,23.0,31.0,26.0
58,Sedan/Wagon,M440i xDrive Coupe,2022,BMW,Hybrid Electric,,,,,,23.0,32.0,26.0
59,Sedan/Wagon,M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric,,,,,,22.0,29.0,25.0
60,SUV,X3 M40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0
61,SUV,X4 M40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0
62,SUV,X5 sDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,26.0,23.0
63,SUV,X5 xDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0
64,SUV,X5 xDrive45e,2022,BMW,Plug-in Hybrid Electric,31.0,400.0,,,50.0,19.0,22.0,20.0
65,SUV,X6 xDrive40i,2022,BMW,Hybrid Electric,,,,,,21.0,25.0,23.0
66,SUV,X7 xDrive40i,2022,BMW,Hybrid Electric,,,,,,19.0,24.0,21.0
67,SUV,Escalade 2WD,2022,Cadillac,Biodiesel (B20),,,,,,21.0,27.0,23.0
68,SUV,Escalade 4WD,2022,Cadillac,Biodiesel (B20),,,,,,20.0,26.0,22.0
69,Sedan/Wagon,Bolt EUV,2022,Chevrolet,Electric,247.0,,125.0,104.0,115.0,,,
70,Sedan/Wagon,Bolt EV,2022,Chevrolet,Electric,259.0,,131.0,109.0,120.0,,,
71,Pickup,Colorado 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,30.0,23.0
72,Pickup,Colorado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,19.0,28.0,22.0
73,Pickup,Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,18.0,22.0,19.0
74,Pickup,Silverado 2WD,2022,Chevrolet,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0
75,Pickup,Silverado 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,23.0,31.0,26.0
76,Pickup,Silverado 4WD,2022,Chevrolet,Ethanol (E85),,,11.0,13.0,12.0,14.0,16.0,15.0
77,Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,22.0,26.0,23.0
78,Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,22.0,26.0,24.0
79,Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,23.0,21.0
80,Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Ethanol (E85),,,10.0,12.0,11.0,14.0,16.0,15.0
81,SUV,Suburban 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,21.0,27.0,23.0
82,SUV,Suburban 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0
83,SUV,Tahoe 2WD,2022,Chevrolet,Biodiesel (B20),,,,,,21.0,28.0,24.0
84,SUV,Tahoe 4WD,2022,Chevrolet,Biodiesel (B20),,,,,,20.0,26.0,22.0
85,Van,Pacifica Hybrid,2022,Chrysler,Plug-in Hybrid Electric,32.0,520.0,,,82.0,29.0,30.0,30.0
86,Sedan/Wagon,SF90 Spyder,2022,Ferrari,Plug-in Hybrid Electric,8.0,320.0,,,44.0,16.0,19.0,17.0
87,Sedan/Wagon,SF90 Stradale ,2022,Ferrari,Plug-in Hybrid Electric,9.0,330.0,,,51.0,16.0,20.0,18.0
88,Sedan/Wagon,Escape AWD HEV,2022,Ford,Hybrid Electric,,,,,,43.0,37.0,40.0
89,Sedan/Wagon,Escape FWD HEV,2022,Ford,Hybrid Electric,,,,,,44.0,37.0,41.0
90,SUV,Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric,37.0,520.0,,,105.0,43.0,38.0,41.0
91,SUV,Explorer AWD FFV,2022,Ford,Ethanol (E85),,,11.0,15.0,13.0,16.0,24.0,19.0
92,SUV,Explorer HEV AWD,2022,Ford,Hybrid Electric,,,,,,23.0,26.0,25.0
93,SUV,Explorer HEV RWD,2022,Ford,Hybrid Electric,,,,,,27.0,28.0,27.0
94,SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,,,,23.0,24.0,23.0
95,SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,,,,25.0,25.0,26.0
96,Pickup,F-150 2WD FFV,2022,Ford,Ethanol (E85),,,14.0,18.0,16.0,19.0,24.0,21.0
97,Pickup,F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,,12.0,18.0,14.0,17.0,24.0,19.0
98,Pickup,F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,,11.0,18.0,14.0,17.0,24.0,20.0
99,Pickup,F-150 4WD FFV,2022,Ford,Ethanol (E85),,,14.0,18.0,15.0,19.0,22.0,20.0
100,Pickup,F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,,12.0,17.0,14.0,16.0,22.0,18.0
101,Pickup,F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,,11.0,17.0,13.0,16.0,22.0,19.0
102,Pickup,F150 Lightning 4WD,2022,Ford,Electric,230.0,,76.0,61.0,68.0,,,
103,Pickup,F150 Lightning 4WD Extended Range,2022,Ford,Electric,320.0,,78.0,63.0,70.0,,,
104,Pickup,F150 Lightning Platinum 4WD,2022,Ford,Electric,300.0,,73.0,60.0,66.0,,,
105,Pickup,F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric,,,,,,25.0,25.0,25.0
106,Pickup,F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric,,,,,,23.0,23.0,23.0
107,Pickup,Maverick Pickup HEV,2022,Ford,Hybrid Electric,,,,,,42.0,33.0,37.0
108,SUV,Mustang Mach-E AWD,2022,Ford,Electric,224.0,,98.0,86.0,93.0,,,
109,SUV,Mustang Mach-E AWD California Route 1,2022,Ford,Electric,312.0,,105.0,91.0,98.0,,,
110,SUV,Mustang Mach-E AWD Extended,2022,Ford,Electric,277.0,,97.0,84.0,91.0,,,
111,SUV,Mustang Mach-E GT AWD,2022,Ford,Electric,270.0,,90.0,77.0,84.0,,,
112,SUV,Mustang Mach-E GT Performance,2022,Ford,Electric,260.0,,88.0,75.0,82.0,,,
113,SUV,Mustang Mach-E RWD,2022,Ford,Electric,247.0,,110.0,96.0,103.0,,,
114,SUV,Mustang Mach-E RWD California Route 1,2022,Ford,Electric,314.0,,108.0,94.0,101.0,,,
115,SUV,Mustang Mach-E RWD Extended,2022,Ford,Electric,303.0,,104.0,90.0,97.0,,,
116,Van,Transit Connect Van FFV,2022,Ford,Ethanol (E85),,,18.0,20.0,19.0,24.0,27.0,25.0
117,Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022,Ford,Ethanol (E85),,,16.0,21.0,18.0,24.0,28.0,26.0
118,Van,Transit T150 Passenger Van 2WD FFV,2022,Ford,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,17.0
119,Van,Transit T150 Passenger Van 4WD FFV,2022,Ford,Ethanol (E85),,,11.0,14.0,12.0,14.0,18.0,16.0
120,Pickup,Canyon 2WD,2022,GMC,Biodiesel (B20),,,,,,20.0,30.0,23.0
121,Pickup,Canyon 4WD,2022,GMC,Biodiesel (B20),,,,,,19.0,28.0,22.0
122,Pickup,Sierra 2WD,2022,GMC,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0
123,Pickup,Sierra 2WD,2022,GMC,Biodiesel (B20),,,,,,23.0,30.0,26.0
124,Pickup,Sierra 4WD,2022,GMC,Ethanol (E85),,,11.0,13.0,12.0,14.0,18.0,16.0
125,Pickup,Sierra 4WD,2022,GMC,Biodiesel (B20),,,,,,22.0,26.0,24.0
126,Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Biodiesel (B20),,,,,,20.0,23.0,21.0
127,Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Ethanol (E85),,,11.0,13.0,12.0,14.0,16.0,15.0
128,SUV,Yukon 2WD,2022,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0
129,SUV,Yukon 4WD,2022,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0
130,SUV,Yukon XL 2WD,2022,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0
131,SUV,Yukon XL 4WD,2022,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0
132,Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,,,,,,48.0,47.0,47.0
133,Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,,,,,,44.0,41.0,43.0
134,SUV,CR-V AWD,2022,Honda,Hybrid Electric,,,,,,40.0,35.0,38.0
135,Sedan/Wagon,Insight,2022,Honda,Hybrid Electric,,,,,,55.0,49.0,52.0
136,Sedan/Wagon,Insight Touring,2022,Honda,Hybrid Electric,,,,,,51.0,45.0,48.0
137,Sedan/Wagon,Elantra Hybrid,2022,Hyundai,Hybrid Electric,,,,,,49.0,52.0,50.0
138,Sedan/Wagon,Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,53.0,56.0,54.0
139,Sedan/Wagon,Ioniq,2022,Hyundai,Hybrid Electric,,,,,,54.0,57.0,55.0
140,SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,Electric,256.0,,110.0,87.0,98.0,,,
141,SUV,Ioniq 5 RWD,2022,Hyundai,Electric,220.0,,127.0,94.0,110.0,,,
142,SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,Electric,303.0,,132.0,98.0,114.0,,,
143,Sedan/Wagon,Ioniq Blue,2022,Hyundai,Hybrid Electric,,,,,,58.0,60.0,59.0
144,Sedan/Wagon,Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,29.0,620.0,,,119.0,52.0,51.0,52.0
145,SUV,Kona Electric,2022,Hyundai,Electric,258.0,,132.0,108.0,120.0,,,
146,SUV,Nexo,2022,Hyundai,Hydrogen Fuel Cell,,,59.0,54.0,57.0,,,
147,SUV,Nexo Blue,2022,Hyundai,Hydrogen Fuel Cell,,,65.0,58.0,61.0,,,
148,Sedan/Wagon,Santa Fe Hybrid,2022,Hyundai,Hybrid Electric,,,,,,33.0,30.0,32.0
149,Sedan/Wagon,Santa Fe Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,36.0,31.0,34.0
150,Sedan/Wagon,Santa Fe Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,31.0,440.0,,,76.0,33.0,32.0,33.0
151,Sedan/Wagon,Sonata Hybrid,2022,Hyundai,Hybrid Electric,,,,,,45.0,51.0,47.0
152,Sedan/Wagon,Sonata Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,50.0,54.0,52.0
153,Sedan/Wagon,Tucson Hybrid,2022,Hyundai,Hybrid Electric,,,,,,37.0,36.0,37.0
154,Sedan/Wagon,Tucson Hybrid Blue,2022,Hyundai,Hybrid Electric,,,,,,38.0,38.0,38.0
155,SUV,Tucson Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,33.0,420.0,,,80.0,35.0,35.0,35.0
156,SUV,E-PACE MHEV,2022,Jaguar,Hybrid Electric,,,,,,21.0,26.0,23.0
157,SUV,F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric,,,,,,20.0,27.0,22.0
158,SUV,F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric,,,,,,19.0,26.0,22.0
159,SUV,Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric,26.0,470.0,,,56.0,23.0,24.0,23.0
160,SUV,Wagoneer 4x2,2022,Jeep,Hybrid Electric,,,,,,16.0,22.0,18.0
161,SUV,Wagoneer 4x4,2022,Jeep,Hybrid Electric,,,,,,15.0,20.0,17.0
162,SUV,Wrangler 2dr 4x4,2022,Jeep,Hybrid Electric,,,,,,20.0,24.0,21.0
163,SUV,Wrangler 4dr 4x4,2022,Jeep,Hybrid Electric,,,,,,19.0,24.0,21.0
164,SUV,Wrangler 4dr 4xe,2022,Jeep,Plug-in Hybrid Electric,22.0,370.0,,,49.0,20.0,20.0,20.0
165,Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,Electric,274.0,,116.0,94.0,105.0,,,
166,Sedan/Wagon,EV6 RWD,2022,Kia,Electric,232.0,,136.0,100.0,117.0,,,
167,Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,Electric,310.0,,134.0,101.0,117.0,,,
168,Sedan/Wagon,Niro,2022,Kia,Hybrid Electric,,,,,,51.0,46.0,49.0
169,Sedan/Wagon,Niro Electric,2022,Kia,Electric,239.0,,123.0,102.0,112.0,,,
170,Sedan/Wagon,Niro FE,2022,Kia,Hybrid Electric,,,,,,53.0,48.0,50.0
171,Sedan/Wagon,Niro Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,26.0,560.0,,,105.0,48.0,44.0,46.0
172,Sedan/Wagon,Niro Touring,2022,Kia,Hybrid Electric,,,,,,46.0,40.0,43.0
173,SUV,Sorento Hybrid AWD,2022,Kia,Hybrid Electric,,,,,,36.0,33.0,35.0
174,SUV,Sorento Hybrid FWD,2022,Kia,Hybrid Electric,,,,,,39.0,35.0,37.0
175,SUV,Sorento Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,32.0,460.0,,,79.0,35.0,33.0,34.0
176,SUV,Defender 110 MHEV,2022,Land Rover,Hybrid Electric,,,,,,17.0,22.0,19.0
177,SUV,Defender 90 MHEV,2022,Land Rover,Hybrid Electric,,,,,,17.0,22.0,19.0
178,SUV,Discovery MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,24.0,21.0
179,SUV,New Range Rover P360 LWB MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,26.0,21.0
180,SUV,New Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,26.0,21.0
181,SUV,New Range Rover P400 LWB MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,26.0,21.0
182,SUV,New Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,26.0,21.0
183,SUV,Range Rover Evoque MHEV,2022,Land Rover,Hybrid Electric,,,,,,21.0,26.0,23.0
184,SUV,Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,23.0,20.0
185,SUV,Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,,,,18.0,23.0,20.0
186,SUV,Range Rover Sport P360 MHEV,2022,Land Rover,Hybrid Electric,,,,,,19.0,24.0,21.0
187,SUV,Range Rover Sport P400 MHEV,2022,Land Rover,Hybrid Electric,,,,,,19.0,24.0,21.0
188,SUV,Range Rover Sport PHEV,2022,Land Rover,Plug-in Hybrid Electric,19.0,480.0,,,42.0,18.0,21.0,19.0
189,SUV,Range Rover Velar P340 MHEV,2022,Land Rover,Hybrid Electric,,,,,,20.0,26.0,22.0
190,SUV,Range Rover Velar P400 MHEV,2022,Land Rover,Hybrid Electric,,,,,,19.0,25.0,21.0
191,Sedan/Wagon,ES 300h,2022,Lexus,Hybrid Electric,,,,,,43.0,44.0,44.0
192,Sedan/Wagon,LC 500h,2022,Lexus,Hybrid Electric,,,,,,26.0,34.0,29.0
193,Sedan/Wagon,LS 500h AWD,2022,Lexus,Hybrid Electric,,,,,,22.0,29.0,25.0
194,SUV,NX 350h AWD,2022,Lexus,Hybrid Electric,,,,,,41.0,37.0,39.0
195,SUV,NX 450+ AWD,2022,Lexus,Plug-in Hybrid Electric,37.0,550.0,,,84.0,38.0,33.0,36.0
196,SUV,RX 450h AWD,2022,Lexus,Hybrid Electric,,,,,,31.0,28.0,30.0
197,SUV,RX 450h L AWD,2022,Lexus,Hybrid Electric,,,,,,29.0,28.0,29.0
198,Sedan/Wagon,UX 250h,2022,Lexus,Hybrid Electric,,,,,,43.0,41.0,42.0
199,Sedan/Wagon,UX 250h AWD,2022,Lexus,Hybrid Electric,,,,,,41.0,38.0,39.0
200,SUV,Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,21.0,460.0,,,56.0,22.0,25.0,23.0
201,SUV,Corsair AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,28.0,430.0,,,78.0,34.0,32.0,33.0
202,Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,471.0,,117.0,114.0,116.0,,,
203,Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,451.0,,110.0,111.0,111.0,,,
204,Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,520.0,,126.0,125.0,125.0,,,
205,Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,481.0,,115.0,117.0,116.0,,,
206,Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,516.0,,130.0,132.0,131.0,,,
207,Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,469.0,,121.0,122.0,121.0,,,
208,Sedan/Wagon,MX-30,2022,Mazda,Electric,100.0,,98.0,85.0,92.0,,,
209,Sedan/Wagon,AMG E53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,21.0,29.0,24.0
210,Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,,,,20.0,28.0,23.0
211,Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,,,,20.0,28.0,23.0
212,SUV,AMG GLE 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,18.0,22.0,19.0
213,SUV,AMG GLE 53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,,,,17.0,21.0,19.0
214,SUV,AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,14.0,18.0,15.0
215,SUV,AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,15.0,19.0,16.0
216,SUV,AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric,,,,,,15.0,19.0,16.0
217,Sedan/Wagon,AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,19.0,25.0,21.0
218,Sedan/Wagon,AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,,,,19.0,25.0,21.0
219,Sedan/Wagon,C 300,2022,Mercedes-Benz,Hybrid Electric,,,,,,25.0,35.0,29.0
220,Sedan/Wagon,C 300 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,23.0,33.0,27.0
221,Sedan/Wagon,CLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,22.0,30.0,25.0
222,Sedan/Wagon,E 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,23.0,30.0,25.0
223,Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2022,Mercedes-Benz,Hybrid Electric,,,,,,21.0,28.0,24.0
224,Sedan/Wagon,E 450 4MATIC (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,24.0
225,Sedan/Wagon,E 450 4MATIC (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,24.0
226,Sedan/Wagon,E 450 (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,25.0
227,Sedan/Wagon,E 450 (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,25.0
228,Sedan/Wagon,EQS450+,2022,Mercedes-Benz,Electric,350.0,,97.0,97.0,97.0,,,
229,Sedan/Wagon,EQS 580 4MATIC,2022,Mercedes-Benz,Electric,340.0,,92.0,99.0,95.0,,,
230,SUV,GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,20.0,26.0,22.0
231,SUV,GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,20.0,25.0,22.0
232,SUV,GLE 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,16.0,21.0,18.0
233,SUV,GLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,18.0,24.0,20.0
234,SUV,GLS 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,16.0,21.0,18.0
235,SUV,GLS 600 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric,,,,,,14.0,20.0,17.0
236,Sedan/Wagon,S 500 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,21.0,30.0,24.0
237,Sedan/Wagon,S 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,,,,16.0,25.0,19.0
238,Sedan/Wagon,S 580 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric,,,,,,15.0,24.0,18.0
239,Sedan/Wagon,Cooper SE Countryman ALL4,2022,Mini,Plug-in Hybrid Electric,18.0,300.0,,,73.0,29.0,30.0,29.0
240,Sedan/Wagon,Cooper SE Hardtop 2 door,2022,Mini,Electric,114.0,,119.0,100.0,110.0,,,
